epoch,learning_rate,loss,mae,val_loss,val_mae
0,9.999999747378752e-05,0.04344542324542999,0.08357392251491547,0.028271248564124107,0.045669686049222946
1,9.999999747378752e-05,0.02046550251543522,0.034513209015131,0.015516472980380058,0.024774333462119102
2,9.999999747378752e-05,0.012264245189726353,0.00644563976675272,0.011529501527547836,0.010710056871175766
3,9.999999747378752e-05,0.010431155562400818,0.004237949848175049,0.010217985138297081,0.00976684968918562
4,9.999999747378752e-05,0.00936790183186531,0.004062804393470287,0.009312791749835014,0.009620685130357742
5,9.999999747378752e-05,0.008582588285207748,0.003773297416046262,0.00859500840306282,0.008899454027414322
6,9.999999747378752e-05,0.007928231731057167,0.004002340603619814,0.007977889850735664,0.008652971126139164
7,9.999999747378752e-05,0.007336125709116459,0.0039037326350808144,0.0074090068228542805,0.00918029434978962
8,9.999999747378752e-05,0.006797358859330416,0.004259052686393261,0.006889837794005871,0.008746718056499958
9,9.999999747378752e-05,0.006298679392784834,0.004564298316836357,0.006403935141861439,0.008666732348501682
